Provincia.string()	Municipio.string()	Dirección.string()	Margen.string()	Toma de datos.string()	Precio.double()	Rótulo.string()	Tipo venta.string()	Rem.string()	Horario.string()
SANTA CRUZ DE TENERIFE	LA LAGUNA	CR AUTOPISTA DEL NORTE, KM. 10,2	I	19/12/2016 10:23	0.871	BP SAN BENITO	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	TACORONTE                	AUTOPISTA NORTE TF-5 KM. 16	I	20/12/2016 00:00	0.871	CEPSA EL PEÑON	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	SAN CRISTOBAL            	CAMINO DE LA VILLA, 175	I	15/12/2016 10:30	0.871	ES TAXLAGUNA 	P	dm	L-V: 08:00-20:00; S-D: 08:00-13:00
SANTA CRUZ DE TENERIFE	GUANCHA (LA)             	CARRETERA TF-5 SANTA CRUZ - ICOD KM. 49	D	19/12/2016 17:30	0.872	TGAS SANTA CATALINA	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	GUANCHA (LA)             	AVENIDA HIPOLITO SINFORIANO,8, 8	N	21/12/2016 12:37	0.872	PCAN	P	dm	L-S: 06:00-22:30; D: 08:00-14:00
SANTA CRUZ DE TENERIFE	REALEJOS (LOS)           	CARRETERA LOS REALEJOS-ICOD EL ALTO KM. 10	N	20/12/2016 11:08	0.872	PCAN LA AZADILLA	P	dm	L-V: 06:00-22:30; S-D: 06:30-22:30
SANTA CRUZ DE TENERIFE	ICOD EL ALTO             	CARRETERA TF-342 LOS REALEJOS - LA GUANCHA KM. 15	D	19/12/2016 12:32	0.872	DISA	P	dm	L-S: 06:00-22:00; D: 08:00-20:00
SANTA CRUZ DE TENERIFE	LA LAGUNA	PLAZA SAN CRISTOBAL, 9	N	21/12/2016 06:00	0.873	TGAS	P	dm	L-D: 06:00-22:00
SANTA CRUZ DE TENERIFE	LA LAGUNA	POL. IND. LOS MAJUELOS km CENTRO COMERCIAL M	N	21/12/2016 17:00	0.873	DISA LAS CHUMBERAS	P	OM	L-D: 07:30-21:30
SANTA CRUZ DE TENERIFE	LA LAGUNA	AVENIDA LOS MAJUELOS, 26	N	21/12/2016 17:00	0.873	DISA LOS MAJUELOS	P	OM	L-D: 24H
SANTA CRUZ DE TENERIFE	SAN CRISTOBAL            	AVENIDA CALVO SOTELO, S/N	N	21/12/2016 10:15	0.873	SHELL LA LAGUNA	P	OM	L-D: 24H
SANTA CRUZ DE TENERIFE	ARAFO                    	CARRETERA LA HIDALGA-ARAFO km 22.00	D	20/12/2016 06:00	0.874	BP LA HIDALGA	P	dm	L-S: 06:00-22:00; D: 07:00-21:00
SANTA CRUZ DE TENERIFE	ARAFO                    	POLIGONO PLAN PARCIAL EL CARRETON  EN  HIDALGA LA, S/N	D	19/12/2016 15:26	0.874	BP	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	BARRANCO HONDO           	CARRETERA TF-28 GENERAL DEL SUR KM. 9,9	I	21/12/2016 12:09	0.875	PCAN	P	dm	L-V: 06:00-22:00; S: 07:00-22:30
SANTA CRUZ DE TENERIFE	LA LAGUNA	GLORIETA DEL BRASIL, S/N	N	21/12/2016 14:30	0.875	DISA PADRE ANCHIETA	P	OM	L-D: 06:00-22:00
SANTA CRUZ DE TENERIFE	TACORONTE                	CALLE CAMINO REAL, 163	N	19/12/2016 14:35	0.876	CEPSA AGUA GARCIA	P	dm	L-S: 06:00-23:00; D: 08:00-22:00
SANTA CRUZ DE TENERIFE	RAVELO                   	CARRERA GENERAL DEL NORTE, 20,450	N	20/12/2016 00:00	0.876	DISA RAVELO	P	OM	L-V: 06:00-22:00; S-D: 06:00-14:00
